zipcode_cluster,brewery_name,Brewery License,License Date,Status,brewery_in_production,brewery_id,brewery_address,brewery_city,brewery_state,brewery_zipcode,brewery_lat,brewery_lng,beer_count,rating_count,rating_score,age_on_service,neighboring_zips,checkins_total_count,checkins_unique_count,checkins_monthly_count,checkins_weekly_count
3,Whitestone Brewery,Brewpub,42151,Open,0,245366,"601 E Whitestone Blvd, Ste 500, Bldg 5",Cedar Park,TX,78613,30.5235,-97.8243,74,18426,3.718,1399.951678,"7,871,778,641",24424,7365,423,2
2,Whole Foods Market Brewing Company,Brewpub,41779,Open,0,165604,"1700 Post Oak Blvd, Suite 100",Houston,TX,77056,29.7502,-95.4614,436,23948,3.886,1822.847708,"7,702,777,057",28906,5219,18,0
5,Wichita Falls Brewing Company,Brewpub,42801,Open,0,360183,701 Indiana,Wichita Falls,TX,76301,33.9136,-98.4913,38,2521,3.756,583.1486806,"7,630,976,306",3435,1066,82,0
3,Wicked Boxer Brewing,Brewpub,42906,Open,0,374693,16326 Mueschke Rd. #E-10,Cypress,TX,77433,30.0112,-95.7243,40,1257,3.67,685.0543981,"7,737,777,429",1504,442,0,0
5,Wild Acre Brewing Company,Brewery,10/22/2015,Open,0,254782,"1734 E El Paso St, Ste 190",Fort Worth,TX,76104,32.7439,-97.3094,61,38971,3.644,1343.019421,"7,610,276,103",52577,19692,812,10
0,Wild Bunch Brewing Company,Brewery,4/17/2013,Open,0,75934,1764 Taylorsville Rd,Red Rock,TX,78662,29.8694,-97.4454,18,833,3.333,2274.917662,"7,895,378,616",1106,701,14,0
2,Wimberley Brewing Company,Brewpub,39517,Open,0,10008,9595 Ranch Road 12,Wimberley,TX,78676,29.9435,-98.0925,18,1709,3.449,3135.038565,"7,866,678,133",2175,713,15,0
2,Woodcreek Brewing Company,Brewery,3/23/2015,Open,0,217818,1400 E Interstate 30,Rockwall,TX,75087,32.9133,-96.4413,17,9075,3.689,1553.024259,"7,503,275,088",11886,4773,74,0
1,Zero One Ale House,Brewpub,40941,Open,0,189606,20 W Beauregard Ave,San Angelo,TX,76903,31.4625,-100.438,41,2545,3.703,1705.811493,"7,690,876,905",3214,905,34,0
1,Zilker Brewing Company,Brewery,1/22/2015,Open,0,194786,1701 East 6th Street,Austin,TX,78702,30.2621,-97.7245,108,50605,3.752,1674.876736,"7,870,178,712",63699,22513,1145,42
